year,case,title,documenturl,courtline,fileddate,citation,parallelcite,docketnum,summary,searchsnippet1,searchsnippet2,searchsnippet3,searchsnippet4
2010,Wilcox v. Career Step,Wilcox v. Career Step,https://www.westlaw.com/Document/Ia68c24be216511df9988d233d23fe599/View/FullText.html?listSource=Search&list=CASE&rank=747&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. Utah, Central Division.",19-Feb-10,Not Reported in F.Supp.2d,2010 WL 624863,2:08-CV-998-CW,"This matter is before the court on a motion by Defendants Career Step, L.L.C., Andrea Anaya, Eugene Anaya, Christopher L. Dunn, Celeste Harjehausen, and Marvin D. Loflin's (collectively, Defendants) to dismiss Plaintiff Aimee Wilcox' unjust enrichment and unfair competition claims (Dkt. No. 11). Also before the court are three other...",...party to assign its interest in the copyright; and a non- competition provision. Though she had reservations about the terms of the...,,,
2006,"Miller v. Glenn Miller Productions, Inc.","Miller v. Glenn Miller Productions, Inc.",https://www.westlaw.com/Document/Ie158f1ab174011db9a6ba61a2ffc7828/View/FullText.html?listSource=Search&list=CASE&rank=567&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States Court of Appeals, Ninth Circuit.",19-Jul-06,454 F.3d 975,2006 WL 2005972,"04-55994, 04-55874",TRADEMARKS - Registration. Licensee's mark incorporating licensors' mark did not foreclose licensors from establishing breach and infringement of mark.,...Exhs. EF. 6.The 1980 settlement agreement contains a non- compete clause which provides that Steven and Jonnie Miller agree not...,,,
2007,In re Polyester Staple Antitrust Litigation,In re Polyester Staple Antitrust Litigation,https://www.westlaw.com/Document/I342e364d3a0a11dcaf8dafd7ee2b8b26/View/FullText.html?listSource=Search&list=CASE&rank=647&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, W.D. North Carolina, Charlotte Division.",19-Jul-07,Not Reported in F.Supp.2d,2007 WL 2111380,MDL 3:03CV1516,"THIS MATTER comes before the Court on: 1) Class Plaintiffs' Motion To Certify Class pursuant to Rule 23 of the Federal Rules of Civil Procedure and all related memoranda and exhibits submitted in support and in opposition thereto. (Documents219, 26475, 281, 314, 325, 369371, 383, 395, 415, 422, 428, 43436, 492, 49495) This action arises out of...","...Staple were raised, fixed, maintained or stabilized at artificial and non- competitive levels; 2) Whether the conspiracy had the effect of fixing...",,,
2007,In re Pressure Sensitive Labelstock Antitrust Litigation,In re Pressure Sensitive Labelstock Antitrust Litigation,https://www.westlaw.com/Document/Icd6dc7579c5111dcab5dc95700b89bde/View/FullText.html?listSource=Search&list=CASE&rank=639&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, M.D. Pennsylvania.",19-Nov-07,Not Reported in F.Supp.2d,2007 WL 4150666,"MDL. 1556, 3:03-MDL-1556","This matter is before the Court on Plaintiffs' Motion for Class Certification and Appointment of Class Counsel pursuant to Federal Rule of Civil Procedure 23. (Dkt. Entry 244.) This case arises from alleged violations of federal antitrust law. Plaintiffs and putative class representatives-Scranton Label, Inc., Bertek Systems, Inc., McCarty Printing...","...10. The district court rejected this argument, concluding MACtac was non- competitive because Bemis elected not to compete. Id. at *11. After...",,,
2006,"Design Strategy, Inc. v. Davis","Design Strategy, Inc. v. Davis",https://www.westlaw.com/Document/I11ff1344610d11dbb38df5bc58c34d92/View/FullText.html?listSource=Search&list=CASE&rank=156&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States Court of Appeals, Second Circuit.",19-Oct-06,469 F.3d 284,2006 WL 2990223,05-4909-CV,LITIGATION - Discovery. Showing of bad faith is not required to exclude evidence as discovery sanction for failure to make required disclosures.,"...a written agreement and was not subject to any restrictive covenant of confidentiality, non- competition, or non-solicitation.  From 1998 though February 2000, Davis earned...",,,
2007,"Recovery Exp., Inc. v. Warren County Fraternal Order of Police Inc.","Recovery Exp., Inc. v. Warren County Fraternal Order of Police, Inc.",https://www.westlaw.com/Document/Ibcd0359d68ea11dcbd4c839f532b53c5/View/FullText.html?listSource=Search&list=CASE&rank=42&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, S.D. Ohio, Western Division.",19-Sep-07,Not Reported in F.Supp.2d,2007 WL 2746549,1:05CV226,"The Court has reviewed the Report and Recommendations of United States Magistrate Judge Timothy S. Black filed on August 24, 2007(Doc. 27), to whom this case was referred pursuant to 28 U.S.C. § 636(b), and noting that no objections have been filed thereto and that the time for filing such objections under Fed.R.Civ.P. 72(b) expired September 14,...","...with Children's Benefit. Ms. Anthony advised the FOP of her non- compete agreements with Mullins and Uleman, and of the non- compete covenants therein. She was advised that the FOP did not consider...",...informed the FOP that they were not bound by a non- compete agreement with Plaintiff. Mullins and Uleman proceeded to solicit donations...,"...the agreement between plaintiff and defendants Mullins and Uleman contained non- compete and anti-disclosure covenants, and it provided that they return all records, including the...","...information contained in the donor cards. Moreover, the agreement included non- compete and anti-disclosure covenants, and the donor lists only included names not amounts address..."
2005,"Dimension Data North America, Inc. v. NetStar-1, Inc.","Dimension Data North America, Inc. v. NetStar-1, Inc.",https://www.westlaw.com/Document/I5e188bd579ec11d99c4dbb2f0352441d/View/FullText.html?listSource=Search&list=CASE&rank=327&sessionScopeId=b148ef7b263a93e7be26a0ca3b0848336dc62882a98ffc68849e42f08b111e5e&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, E.D. North Carolina, Western Division.",2-Feb-05,226 F.R.D. 528,2005 WL 287726,5:04-CV-977FL(1),LITIGATION - Discovery. Expedited discovery in anticipation of impending preliminary injunction motion would be premature and not reasonable.,"...April 27, 1998.  Defendant Norris signed a confidentiality agreement and non- compete agreement with TimeBridge, on June 15, 2000.  Upon merger between...",,,
2009,"Timberline Drilling, Inc. v. American Drilling Corp.","Timberline Drilling, Inc. v. American Drilling Corp., LLC",https://www.westlaw.com/Document/I70dcb15908c311deb77d9846f86fae5c/View/FullText.html?listSource=Search&list=CASE&rank=19&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. Idaho.",2-Mar-09,Not Reported in F.Supp.2d,2009 WL 529627,CIV A CV09-18-N-EJL,"On January 22, 2009, the Court granted a temporary restraining order in favor of Plaintiff Timberline Drilling, Inc. (Timberline). The Court now has before it Timberline's request for a preliminary injunction against American Drilling Corp. LLC (American Drilling LLC), American Drilling Corporation (American...",...of Relief 212IV(L) Trade or Business 212 1383 k. Non- competition and non-solicitation issues. (Formerly 212k138.39 Mining company was not...,"...nature. The company claimed that a retired executive breached a non- compete agreement, causing a significant loss in profits. The company knew...","...2007 with Kettle Drilling, Inc. The SI Agreement included certain non- compete language in section 6: 6. Employment Related Provisions. In consideration...",...Drilling Corp. is in violation of the terms of the non- compete language contained in the SI Agreement. For purposes of the...
2009,"General Steel Domestic Sales, LLC v. Denver/Boulder Better Business Bureau","General Steel Domestic Sales, LLC v. Denver/Boulder Better Business Bureau",https://www.westlaw.com/Document/If491eee8090311debc7bf97f340af743/View/FullText.html?listSource=Search&list=CASE&rank=789&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. Colorado.",2-Mar-09,Not Reported in F.Supp.2d,2009 WL 535780,"07-CV-02170, CIVA107CV01145DMEKMT","This civil case pits Plaintiff General Steel Domestic Sales, Corporation (General Steel) against a host of Defendants that allegedly conspired to foster the false impression that General Steel was violating consumer protection laws, advertising illegally, and engaging in unfair business practices. General Steel admits, however, as it...","...former CFO. While employed at General Steel, he had signed non- compete and non-disclosure agreements, but nonetheless he secretly planned a...",,,
2007,Allan Block Corp. v. E. Dillon & Co.,Allan Block Corp. v. E. Dillon & Co.,https://www.westlaw.com/Document/I780800d1548b11dcab5dc95700b89bde/View/FullText.html?listSource=Search&list=CASE&rank=633&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. Minnesota.",20-Aug-07,509 F.Supp.2d 795,2007 WL 2409669,CIV. 04-3511 JNE/JJG,PATENTS - Damages. Licensee's manufacture and sale of blocks after particular date was not willful infringement.,"...after prevailing at trial on a suit for breach of covenants not to compete.  Allan Block, 2007 U.S. Dist. LEXIS 30690, at *1,*26...",,,
2007,"Dry Cleaning To-Your-Door, Inc. v. Waltham Ltd. Liability Co.","Dry Cleaning To-Your-Door, Inc. v. Waltham Ltd. Liability Co.",https://www.westlaw.com/Document/Ib10c2e9eb70411dc8dba9deb08599717/View/FullText.html?listSource=Search&list=CASE&rank=27&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, D. Colorado.",20-Dec-07,Not Reported in F.Supp.2d,2007 WL 4557832,07-CV-01483WDMMJW,"This matter is before me on the Plaintiff's Motion for Preliminary Injunction. Following evidentiary hearings, consideration of the parties' arguments and pleadings and in accordance with oral ruling on November 29, 2007, which is incorporated by reference, I make the following findings and conclusions pursuant to Fed.R.Civ.P. 52(a) and 65(d): A....","...December 31, 1996. Exhibit 1. C. The Agreement contains a non- competition covenant which prohibits Defendants from owning, maintaining, engaging in, being employed...","...benefit is at least $10,000. H. In the franchising industry, non- competition provisions and territorial integrity are critical contractual factors to protect...","...the public policy of Colorado. Although Colorado law renders some covenants not to compete void, it excepts from such prohibition contracts for the purchase...",...status quo was therefore that Defendants were bound by the non- compete provision meaning that an injunction prohibiting competition would be maintaining...
2010,BroadStar Wind Systems Group LLC v. Stephens,BroadStar Wind Systems Group LLC v. Stephens,https://www.westlaw.com/Document/Id2cac7704a6011e794a1f7ff5c621124/View/FullText.html?listSource=Search&list=CASE&rank=755&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, N.D. Texas, Dallas Division.",20-Dec-10,Slip Copy,2010 WL 11515479,3:10-CV-0369-F,"BEFORE THE COURT is Plaintiff BroadStar Wind Systems Group LLC's Motion for Partial Summary Judgment (Docket No. 80), filed September 7, 2010, seeking a declaratory judgment issues relating to the ownership of the patents at issue in this case. Defendant filed a Response on September 29, 2010 (Docket No. 91), which also included a Cross-Motion for...","...Stephens's inventions at $9,000,000; and (3) a declaration that the noncompetition portion of his employment agreement with Plaintiff be declared void...",,,
2008,Joe N. Pratt Ins. v. Doane,Joe N. Pratt Ins. v. Doane,https://www.westlaw.com/Document/Ia5c7bdebfcc511dca9c2f716e0c816ba/View/FullText.html?listSource=Search&list=CASE&rank=742&sessionScopeId=04f640b2ff2c2e6e3b1d87cd6394bcc861a5c3b644f6b21e3d65eeb3d6174582&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"United States District Court, S.D. Texas, Victoria Division.",20-Mar-08,Not Reported in F.Supp.2d,2008 WL 819011,CIV.A. V-07-07,"Pending before the Court are defendants Trinity Universal Insurance Company, Kerry Lott and Jim Strahan's (collectively, Trinity Defendants) 12(b)(6) Motion to Dismiss Plaintiff's First Amended Original Complaint for Failure to State a Claim Upon Which Relief Can be Granted (Dkt. No. 24) and defendants Donna Easley Doane d/b/a Easley Insurance...",...began contacting Plaintiff's customers in violation of the confidentiality and noncompetition provision of the Producer Agreement between Ms. Turner and Plaintiff...,...Pratt's allegations sufficient. Turner was allegedly bound by confidentiality and noncompetition provisions of a Producer Agreement between herself and Plaintiff. Dkt...,,
